                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4444,                 31.951,                  0.948,                      0,                      0,                      0,                      0,                      0,             2.0607e+07,                      0,                0.00052,                0.00052,                0.00052
                      2,                  3.652,                 5.0854,                0.98652,                      0,                      0,                      0,                      0,                      0,             1.4088e+13,                      0,              0.0010495,              0.0010495,              0.0010495
                      3,                 3.6891,                 2.9487,                0.98048,                      0,                      0,                      0,                      0,                      0,             3.1547e+10,                      0,              0.0015683,              0.0015683,              0.0015683
                      4,                 3.7466,                 2.7902,                 0.9855,                      0,                      0,                      0,                      0,                      0,             5.8682e+07,                      0,              0.0019406,              0.0019406,              0.0019406
                      5,                 3.5739,                 2.4774,                0.95577,                      0,                      0,                      0,                      0,                      0,                  51544,                      0,              0.0019406,              0.0019406,              0.0019406
                      6,                 3.2866,                 2.4428,                0.95689,                      0,                      0,                      0,                      0,                      0,                  14992,                      0,              0.0019208,              0.0019208,              0.0019208
                      7,                 3.5268,                 2.4453,                0.96372,                 0.0155,                 0.0396,                0.01961,                0.00326,                 2.9289,                 2.9896,                0.65976,               0.001901,               0.001901,               0.001901
                      8,                  3.574,                 2.7127,                0.95552,                 0.0155,                 0.0396,                0.01961,                0.00326,                      0,                   2346,                      0,              0.0018812,              0.0018812,              0.0018812
                      9,                 3.7112,                 2.5928,                0.98235,                0.08075,                0.06931,                0.00996,                0.00183,                 2.9821,                 6.3999,                0.73045,              0.0018614,              0.0018614,              0.0018614
                     10,                 3.3631,                 2.2502,                0.94514,                0.00631,                 0.0297,                0.00418,                0.00095,                 2.5358,                 14.472,                0.65035,              0.0018416,              0.0018416,              0.0018416
                     11,                 3.2873,                 2.2803,                0.90351,                 0.9213,                0.05941,                 0.0945,                0.02938,                 3.3865,                  3.724,                0.81831,              0.0018218,              0.0018218,              0.0018218
                     12,                 3.2216,                 2.1593,                0.90888,                0.01419,                 0.0396,                0.00539,                0.00147,                 3.1803,                 15.532,                0.77107,               0.001802,               0.001802,               0.001802
                     13,                 3.1671,                 2.1062,                 0.9361,                0.13333,                0.15842,                0.11083,                 0.0341,                  3.098,                 2.7891,                0.76253,              0.0017822,              0.0017822,              0.0017822
                     14,                 3.2112,                 2.0781,                 0.9152,                0.61001,                0.40268,                0.40508,                0.12305,                 2.8246,                 1.6883,                0.83975,              0.0017624,              0.0017624,              0.0017624
                     15,                  3.553,                 2.3471,                0.95856,                0.29433,                0.21782,                0.18047,                0.03646,                 3.3262,                 1.9218,                0.87158,              0.0017426,              0.0017426,              0.0017426
                     16,                 3.3297,                 2.0766,                0.93155,                0.19182,                0.14102,                0.05314,                0.01109,                 3.3598,                 2.1139,                0.86913,              0.0017228,              0.0017228,              0.0017228
                     17,                  3.138,                  1.837,                0.92123,                0.51459,                0.30693,                0.29988,                0.06732,                  2.895,                 1.8839,                0.83745,               0.001703,               0.001703,               0.001703
                     18,                 3.1672,                 2.1365,                0.94896,                0.43179,                 0.3687,                 0.3282,                0.08807,                 2.7137,                 1.8121,                0.83607,              0.0016832,              0.0016832,              0.0016832
                     19,                 3.0437,                 1.8762,                0.94096,                0.65086,                0.31683,                0.29753,                   0.08,                 2.7504,                  1.698,                0.83853,              0.0016634,              0.0016634,              0.0016634
                     20,                 2.8976,                 1.8518,                0.89634,                0.56042,                0.23987,                0.28364,                0.07611,                 2.8132,                 2.2371,                0.83495,              0.0016436,              0.0016436,              0.0016436
                     21,                 2.9027,                  1.816,                 0.8857,                0.64735,                0.22772,                0.31547,                0.11021,                 2.5375,                 2.3475,                0.82487,              0.0016238,              0.0016238,              0.0016238
                     22,                  2.928,                 1.8807,                0.89079,                0.50689,                0.30536,                0.35403,                0.10123,                 2.7126,                 1.5819,                0.81889,               0.001604,               0.001604,               0.001604
                     23,                 3.0743,                 1.8328,                0.92415,                0.72639,                 0.2366,                0.28743,                0.07639,                 2.7653,                 2.0914,                0.83608,              0.0015842,              0.0015842,              0.0015842
                     24,                 3.0335,                  1.971,                0.90096,                0.62419,                0.30693,                0.37503,                0.11282,                  2.717,                 1.7856,                0.83253,              0.0015644,              0.0015644,              0.0015644
                     25,                  3.023,                 1.9466,                0.88469,                0.71675,                0.30071,                0.37493,                0.11296,                 2.7129,                 1.8635,                0.82814,              0.0015446,              0.0015446,              0.0015446
                     26,                 2.8594,                 1.8293,                0.90435,                0.61464,                0.35644,                0.36044,                0.11954,                 2.5693,                 1.5478,                0.82176,              0.0015248,              0.0015248,              0.0015248
                     27,                 2.7329,                 1.7703,                0.87239,                0.60137,                0.32863,                 0.3124,                0.10016,                 2.4422,                 1.7174,                0.82323,               0.001505,               0.001505,               0.001505
                     28,                 2.8362,                 1.7566,                0.90542,                0.52652,                0.28713,                0.32371,                0.08146,                 2.7549,                 1.7796,                0.83658,              0.0014852,              0.0014852,              0.0014852
                     29,                 2.8143,                 1.7188,                0.88675,                0.65915,                0.36634,                0.37883,                0.09949,                 2.5233,                 1.5113,                0.81804,              0.0014654,              0.0014654,              0.0014654
                     30,                 2.7987,                 1.6451,                0.87074,                 0.5865,                0.31683,                0.35244,                0.10458,                 2.3182,                 1.4874,                  0.807,              0.0014456,              0.0014456,              0.0014456
                     31,                 2.7542,                 1.6622,                0.86594,                0.51339,                0.32673,                0.32871,                0.09351,                 2.5692,                 1.5108,                0.80336,              0.0014258,              0.0014258,              0.0014258
